,コード,銘柄名
0,1301,極洋
1,1305,ダイワ上場投信－トピックス
2,1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信
3,1308,上場インデックスファンドＴＯＰＩＸ
4,1309,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信
5,1311,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信
6,1319,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信
7,1320,ダイワ上場投信－日経２２５
8,1321,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信
9,1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００
10,1324,ＮＥＸＴ　ＦＵＮＤＳ　ロシア株式指数連動型上場投信
11,1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信
12,1326,ＳＰＤＲゴールド・シェア
13,1328,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信
14,1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ
15,1330,上場インデックスファンド２２５
16,1332,ニッスイ
17,1333,マルハニチロ
18,1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ指数連動型上場投信
19,1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型
20,1346,ＭＡＸＩＳ　日経２２５上場投信
21,1348,ＭＡＸＩＳ　トピックス上場投信
22,1349,ＡＢＦ汎アジア債券インデックス・ファンド
23,1356,ＴＯＰＩＸベア２倍上場投信
24,1357,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信
25,1358,上場インデックスファンド日経レバレッジ指数
26,1360,日経平均ベア２倍上場投信
27,1364,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ
28,1365,ダイワ上場投信－日経平均レバレッジ・インデックス
29,1366,ダイワ上場投信－日経平均ダブルインバース・インデックス
30,1367,ダイワ上場投信－ＴＯＰＩＸレバレッジ（２倍）指数
31,1368,ダイワ上場投信－ＴＯＰＩＸダブルインバース（－２倍）指数
32,1369,Ｏｎｅ　ＥＴＦ　日経２２５
33,1375,雪国まいたけ
34,1376,カネコ種苗
35,1377,サカタのタネ
36,1379,ホクト
37,1380,秋川牧園
38,1381,アクシーズ
39,1382,ホーブ
40,1383,ベルグアース
41,1384,ホクリヨウ
42,1385,ＵＢＳ　ＥＴＦ　ユーロ圏大型株５０（ユーロ・ストックス５０）
43,1386,ＵＢＳ　ＥＴＦ　欧州株（ＭＳＣＩヨーロッパ）
44,1387,ＵＢＳ　ＥＴＦ　ユーロ圏株（ＭＳＣＩ　ＥＭＵ）
45,1388,ＵＢＳ　ＥＴＦ　ユーロ圏小型株（ＭＳＣＩ　ＥＭＵ小型株）
46,1389,ＵＢＳ　ＥＴＦ　英国大型株１００（ＦＴＳＥ　１００）
